date        NoDur  Durbl  Manuf  Enrgy  HiTec  Telcm  Shops  Hlth   Utils  Other
194702   0.94   1.57  -0.67  -2.69  -2.03  -2.08  -1.26  -4.21  -0.69  -1.49
194703  -1.99  -2.64  -1.57   2.33  -2.35  -2.21  -2.42  -1.28  -2.64  -3.43
194704  -6.50  -4.07  -5.65  -0.37  -5.10  -0.26  -7.69  -8.46  -3.73  -6.32
194705  -0.32  -2.06  -2.03   2.51  -0.39  -1.07  -1.09  -2.61  -2.33  -1.79
194706   6.46   5.91   5.78   7.79   3.84  -3.22   9.72   4.23   3.92   3.28
194707   4.65   5.17   3.88   3.87   6.34   0.81   4.45   2.60   2.54   5.96
194708  -1.38  -0.74  -1.01  -2.30  -4.21   0.36  -3.52  -3.83   0.24  -3.17
194709   0.39   0.14   0.70  -2.70   1.15   0.84  -2.16  -2.62  -1.32  -0.97
194710   1.36   2.95   3.23   5.24   1.73   0.21   2.71   1.22   0.15   1.04
194711  -1.69  -2.67  -1.19  -0.34  -0.55  -2.57  -1.86  -3.04  -7.44  -1.97
194712   0.69   2.25   2.60   9.29   2.48   0.44   0.11   3.10   1.18   3.69
194801  -2.69  -5.34  -4.07  -7.43  -5.52   0.11  -2.58  -8.23  -0.22  -0.87
194802  -6.11  -5.41  -5.32  -2.96  -3.95  -1.06  -3.90  -3.53  -3.49  -4.09
194803   5.46   7.25   9.61   9.93  11.11   1.96   7.09   6.33   6.61   9.88
194804   1.31   1.16   2.51  11.21  -0.60   2.65   4.40   2.14   1.50   3.24
194805   5.08  14.42   7.86   6.08  12.76   2.49   8.84   6.78   5.74   6.76
194806  -1.99   0.33  -0.98   3.49  -1.42   0.43  -1.01  -2.19   2.58  -0.80
194807  -1.67  -4.37  -4.99  -7.18  -6.60  -1.65  -7.50  -4.25  -4.33  -4.97
194808   0.02   1.13   0.41  -2.01   3.07   0.06   2.27  -1.90   0.09   1.53
194809  -3.95  -3.88  -2.65  -4.46  -3.16  -0.23  -0.93  -3.08  -0.90  -3.42
194810   3.64   7.95   6.68   9.20   6.85   1.11   4.16   5.19   4.40   4.96
194811  -6.17 -11.86 -10.13 -12.18  -9.25  -2.06  -4.50  -5.74  -9.09 -10.58
194812   0.68   3.45   4.02   4.72   6.31   1.08   1.41   4.54   2.67   2.87
194901   3.67   2.46   0.31  -3.83  -1.33  -1.26   1.01   4.57   4.77   0.31
194902  -1.93  -3.68  -3.43  -4.30  -4.21  -0.30  -3.10  -0.93   0.67  -3.17
194903   3.20   3.41   3.57   6.06   5.82   1.36   4.26   5.50   3.76   4.89
194904  -1.62  -4.22  -3.51   1.29  -3.71  -1.64  -1.63   0.24   1.22  -1.54
194905  -0.42  -2.83  -3.30  -5.63  -5.30  -2.18   1.11  -1.88  -0.57  -2.67
194906   1.01   1.30   0.23  -1.18   0.11   1.13   3.57   2.16  -0.92  -1.37
194907   4.94   9.42   5.93   6.24   6.90   2.41   4.68   6.00   4.66   4.19
194908   3.97   2.32   2.17   5.49   0.75   0.98   1.31   0.19   3.67   1.45
194909   2.83   2.64   3.93   3.03   3.65   1.23   2.16   1.86   4.05   3.40
194910   1.53   7.35   4.33   3.71   3.74   1.88   0.38   3.38   0.45   2.44
194911   1.84   4.76   3.25  -2.77   3.90   1.67   2.38   4.81   3.16   1.21
194912   5.13   8.27   6.48   1.09   9.17   1.59   4.64   8.70   3.29   7.17
195001   1.37   1.88   1.98  -0.64   4.53   1.86   0.01   1.06   3.69   3.12
195002   0.53   3.50   1.95  -0.53   3.40   0.66   1.46   1.92   2.38   1.04
195003  -0.56   1.86   0.81   4.85   2.42   4.57  -0.67  -2.90   0.60  -0.68
195004   0.14  10.56   7.44   3.23   4.73   2.37  -0.28   5.52   0.95   1.50
195005   2.07   6.45   5.99   8.80   0.23   1.97   2.59   3.96   1.86   1.36
195006  -5.69  -4.03  -6.54  -4.52  -7.96  -4.28  -4.51  -4.19  -7.63  -6.80
195007   0.44  -2.87   2.22   8.59  -2.92  -1.32  -0.76  -6.94  -5.23   7.49
195008   3.94   9.28   6.34   4.34   5.26   2.56   4.19   3.68   3.39   2.30
